player,span,matches,innings,balls,overs,maidens,runs,wickets,bestBowlingInInnings,average,economy,strikeRate,fourWicketHauls,fiveWicketHauls
MC Henriques,2009-2021,62,60,950,158.2,0.0,1289,42,0.0,30.69,8.14,22.61,0.0,0.0
YK Pathan,2008-2019,174,82,1147,191.1,1.0,1415,42,0.0,33.69,7.4,27.3,0.0,0.0
R Sharma,2010-2014,44,44,928,154.4,1.0,1086,40,0.0,27.15,7.02,23.2,0.0,0.0
Iqbal Abdulla,2008-2017,49,48,920,153.2,1.0,1109,40,0.0,27.72,7.23,23.0,0.0,0.0
S Sreesanth,2008-2013,44,44,880,146.4,4.0,1190,40,0.0,29.75,8.11,22.0,0.0,0.0
P Awana,2012-2014,33,33,747,124.3,2.0,1029,39,0.0,26.38,8.26,19.15,1.0,0.0
DT Christian,2011-2021,49,49,883,147.1,0.0,1192,38,0.0,31.36,8.09,23.23,0.0,0.0
PJ Sangwan,2008-2022,42,42,856,142.4,1.0,1240,38,0.0,32.63,8.69,22.52,0.0,0.0
DE Bollinger,2010-2012,27,27,576,96.0,3.0,693,37,0.0,18.72,7.21,15.56,1.0,0.0
MR Marsh,2010-2024,42,34,560,93.2,1.0,795,37,0.0,21.48,8.51,15.13,2.0,0.0
M Markande,2018-2024,37,37,720,120.0,0.0,1069,37,0.0,28.89,8.9,19.45,2.0,0.0
MS Gony,2008-2017,44,44,888,148.0,3.0,1287,37,0.0,34.78,8.69,24.0,0.0,0.0
GJ Maxwell,2012-2024,134,79,944,157.2,1.0,1303,37,0.0,35.21,8.28,25.51,0.0,0.0
Washington Sundar,2017-2024,60,58,1054,175.4,1.0,1325,37,0.0,35.81,7.54,28.48,0.0,0.0
